,area_type,location,total_sqft,bath,price,size,per_sq_foot
0,0,Electronic City Phase II,1056.0,2.0,39.07,2,3699.810606060606
1,2,Chikka Tirupathi,2600.0,5.0,120.0,4,4615.384615384615
2,1,Uttarahalli,1440.0,2.0,62.0,3,4305.555555555556
3,0,Lingadheeranahalli,1521.0,3.0,95.0,3,6245.890861275477
4,0,Kothanur,1200.0,2.0,51.0,2,4250.0
5,0,Whitefield,1170.0,2.0,38.0,2,3247.863247863248
6,0,Old Airport Road,2732.0,4.0,204.0,4,7467.0571010248905
7,0,Rajaji Nagar,3300.0,4.0,600.0,4,18181.81818181818
8,0,Marathahalli,1310.0,3.0,63.25,3,4828.244274809161
9,2,other,1020.0,6.0,370.0,6,36274.509803921566
10,0,Whitefield,1800.0,2.0,70.0,3,3888.8888888888887
11,2,Whitefield,2785.0,5.0,295.0,4,10592.45960502693
12,0,7th Phase JP Nagar,1000.0,2.0,38.0,2,3800.0
13,1,Gottigere,1100.0,2.0,40.0,2,3636.3636363636365
14,2,Sarjapur,2250.0,3.0,148.0,3,6577.777777777777
15,0,Mysore Road,1175.0,2.0,73.5,2,6255.31914893617
16,0,Bisuvanahalli,1180.0,3.0,48.0,3,4067.7966101694915
17,0,Raja Rajeshwari Nagar,1540.0,3.0,60.0,3,3896.103896103896
18,0,other,2770.0,4.0,290.0,3,10469.314079422382
19,0,other,1100.0,2.0,48.0,2,4363.636363636364
20,1,Kengeri,600.0,1.0,15.0,1,2500.0
21,0,Binny Pete,1755.0,3.0,122.0,3,6951.5669515669515
22,2,Thanisandra,2800.0,5.0,380.0,4,13571.42857142857
23,0,Bellandur,1767.0,3.0,103.0,3,5829.088851160159
24,0,Thanisandra,510.0,1.0,25.25,1,4950.980392156863
25,0,other,1250.0,3.0,56.0,3,4480.0
26,0,Electronic City,660.0,1.0,23.1,2,3500.0
27,1,Whitefield,1610.0,3.0,81.0,3,5031.055900621118
28,0,Ramagondanahalli,1151.0,2.0,48.77,2,4237.185056472633
29,0,Electronic City,1025.0,2.0,47.0,3,4585.365853658536
30,0,Yelahanka,2475.0,4.0,186.0,4,7515.151515151515
31,0,Bisuvanahalli,1075.0,2.0,35.0,3,3255.813953488372
32,0,Hebbal,1760.0,2.0,123.0,3,6988.636363636364
33,0,Raja Rajeshwari Nagar,1693.0,3.0,57.39,3,3389.84051978736
34,1,Kasturi Nagar,1925.0,3.0,125.0,3,6493.506493506494
35,0,Kanakpura Road,700.0,2.0,36.0,2,5142.857142857143
36,0,Electronics City Phase 1,1070.0,2.0,45.5,2,4252.336448598131
37,0,Kundalahalli,1724.0,3.0,125.0,3,7250.580046403712
38,0,Chikkalasandra,1290.0,2.0,56.12,3,4350.387596899225
39,1,Uttarahalli,1143.0,2.0,45.0,2,3937.0078740157483
40,1,Murugeshpalya,1296.0,2.0,81.0,2,6250.0
41,0,Sarjapur  Road,1254.0,3.0,38.0,3,3030.3030303030305
42,0,other,600.0,1.0,38.0,1,6333.333333333333
43,2,Yelahanka,660.0,1.0,48.0,1,7272.727272727273
44,0,Kanakpura Road,1330.74,2.0,91.79,2,6897.665960292769
45,2,HSR Layout,600.0,9.0,200.0,8,33333.333333333336
46,0,Doddathoguru,970.0,2.0,33.0,2,3402.061855670103
47,0,Whitefield,1459.0,2.0,94.82,2,6498.971898560658
48,2,KR Puram,800.0,1.0,130.0,2,16250.0
49,1,other,869.0,2.0,36.0,2,4142.692750287687
50,0,other,1270.0,2.0,50.0,2,3937.0078740157483
51,0,Bhoganhalli,1670.0,3.0,99.0,3,5928.143712574851
52,1,Whitefield,2010.0,3.0,91.0,3,4527.363184079602
53,0,Lakshminarayana Pura,1185.0,2.0,75.0,2,6329.113924050633
54,0,Yelahanka,1600.0,2.0,75.0,3,4687.5
55,0,Begur Road,1200.0,2.0,44.0,2,3666.6666666666665
56,1,Devanahalli,3210.0,2.0,192.0,4,5981.308411214954
57,0,other,1500.0,2.0,185.0,2,12333.333333333334
58,2,Murugeshpalya,1407.0,4.0,150.0,6,10660.980810234541
59,0,other,840.0,2.0,45.0,2,5357.142857142857
60,2,other,4395.0,3.0,240.0,3,5460.750853242321
61,0,other,845.0,2.0,55.0,2,6508.87573964497
62,2,Whitefield,5700.0,5.0,650.0,4,11403.508771929824
63,1,Varthur,1160.0,2.0,44.0,2,3793.103448275862
64,1,Bommanahalli,3000.0,8.0,140.0,8,4666.666666666667
65,0,Doddathoguru,1100.0,2.0,62.0,2,5636.363636363636
66,0,Gunjur,1140.0,2.0,43.0,2,3771.9298245614036
67,0,Marathahalli,1220.0,2.0,57.0,2,4672.131147540984
68,2,Devarachikkanahalli,1350.0,7.0,85.0,8,6296.2962962962965
69,0,Kanakpura Road,1005.0,2.0,36.68,2,3649.7512437810947
70,2,other,500.0,3.0,100.0,3,20000.0
71,0,Begur Road,1358.0,2.0,80.58,2,5933.726067746687
72,0,Hegde Nagar,1569.0,3.0,101.0,3,6437.221159974506
73,0,Haralur Road,1240.0,2.0,70.0,2,5645.1612903225805
74,0,Hennur Road,2089.0,3.0,140.0,3,6701.771182383915
75,0,Kothannur,1206.0,2.0,48.23,2,3999.1708126036483
76,0,Kalena Agrahara,1150.0,2.0,40.0,2,3478.2608695652175
77,1,other,2511.0,3.0,205.0,3,8164.078056551175
78,1,Kaval Byrasandra,460.0,1.0,22.0,2,4782.608695652174
79,1,ISRO Layout,4400.0,6.0,250.0,6,5681.818181818182
80,0,other,1660.0,2.0,105.0,3,6325.301204819277
81,1,Hennur Road,3203.5,2.0,224.5,4,7007.960043702201
82,0,Yelahanka,1326.0,2.0,78.0,2,5882.35294117647
83,0,Garudachar Palya,1325.0,2.0,60.8,3,4588.679245283019
84,0,EPIP Zone,1499.0,5.0,102.0,3,6804.536357571715
85,1,Hegde Nagar,3000.0,7.0,210.0,6,7000.0
86,0,Kanakpura Road,1665.0,3.0,88.0,3,5285.285285285286
87,0,Dasanapura,708.0,2.0,37.0,2,5225.988700564972
88,0,Kasavanhalli,1060.0,2.0,58.06,2,5477.358490566037
89,2,Rajaji Nagar,710.0,6.0,160.0,6,22535.211267605635
90,1,Sanjay nagar,1000.0,2.0,70.0,2,7000.0
91,0,Electronic City,1000.0,2.0,28.88,2,2888.0
92,0,other,1450.0,2.0,70.0,3,4827.586206896552
93,2,ISRO Layout,1200.0,4.0,155.0,4,12916.666666666666
94,0,Thanisandra,1296.0,2.0,80.0,2,6172.83950617284
95,0,Domlur,1540.0,3.0,90.0,3,5844.1558441558445
96,2,Kengeri,2894.0,4.0,245.0,4,8465.791292328957
97,0,Sarjapura - Attibele Road,1330.0,2.0,48.0,3,3609.0225563909776
98,1,other,1200.0,2.0,65.0,2,5416.666666666667
